Mixture,Type,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
TCGA.35.5375.01A.01R.1628.07,Wild,0.788488637,0.966295671,1.066373983,0.842128845,0.983704674,0.973146392,1.090145777,0.934192635,0.814531171,0.863131796,0.618813065,0.913116897,0.830829644,1.0098714,0.768127346,0.798249372,1.044287637,0.753083572,0.945534734,0.938374172,0.78895241,0.592375528,0.933592567,0.981196546,0.861736774,0.850219159,0.722002166,0.861958698
TCGA.55.A4DF.01A.11R.A24H.07,Wild,0.782406465,0.990753614,1.051483157,0.82223803,0.986947753,1.045150764,1.119136932,0.929972635,0.834466683,0.926076043,0.551704881,0.920110442,0.884021494,1.02968329,0.788902388,0.713247813,1.099908366,0.732690839,0.950780947,0.982503672,0.763756768,0.481975501,0.952044166,0.995951756,0.805676523,0.845351259,0.684551906,0.879235994
TCGA.MP.A4T4.01A.11R.A262.07,Wild,0.852995386,0.955945104,1.108461253,0.807901319,0.978387834,1.04092147,1.137676123,1.02729569,0.818162527,1.009619097,0.625814223,0.933986043,0.903677836,1.000979723,0.814448502,0.812023918,1.13779659,0.751038793,0.992634474,0.979827407,0.823907974,0.606811604,0.97273811,1.06693425,0.888135165,0.889428272,0.679579463,0.85307955
TCGA.62.A471.01A.12R.A24H.07,Wild,0.692208183,0.872983428,0.987412954,0.764313432,0.949780172,1.006834177,1.090147264,0.926547157,0.756237428,0.87196695,0.548041153,0.871114415,0.672669699,0.950766461,0.677073769,0.691944057,0.954462427,0.70101167,0.937251895,0.871774746,0.753827332,0.697375788,0.940037069,0.821324982,0.720451235,0.80361734,0.733792336,0.887045769
TCGA.L9.A5IP.01A.21R.A39D.07,Wild,0.607623693,0.939067214,0.988665998,0.830085153,0.938479138,1.011468913,1.121551667,0.958489497,0.806810539,0.929865282,0.605203561,0.916918192,0.718855212,0.946759442,0.747275568,0.727450006,1.00416086,0.630160806,0.931744171,0.927642275,0.762918631,0.75825638,0.954632652,0.927592559,0.799946809,0.844853574,0.730172194,0.864528956
TCGA.49.AARR.01A.11R.A41B.07,Wild,0.887096056,0.784473451,1.021665502,0.825963125,0.959295215,0.987368314,1.110519308,0.964371776,0.839333918,0.925983728,0.75671525,0.944339807,0.862076368,1.0349361,0.848766884,0.877935246,1.080306079,0.677581455,0.976604959,0.995120368,0.760517387,0.614001052,1.002159677,0.985666109,0.831782354,0.854264697,0.693392652,0.852417254
TCGA.78.8662.01A.11R.2403.07,Wild,0.582611418,0.838472413,0.924586753,0.778630436,0.922309497,0.989765805,1.088628963,0.930366228,0.724847412,0.838244657,0.670986527,0.900710442,0.648071865,0.945244902,0.655660452,0.734214658,0.91166435,0.677736722,0.955481062,0.910947666,0.716803845,0.47975155,0.910140214,0.812642731,0.748670836,0.788205987,0.670497382,0.850921549
TCGA.05.4430.01A.02R.1206.07,Wild,0.786942843,0.900201808,1.024336218,0.869707706,0.969277706,1.025380409,1.135037051,1.043941258,0.839729431,0.924719673,0.653083629,0.981969534,0.819188859,1.037285534,0.887353149,0.920363512,1.109735524,0.739072473,1.016308445,0.993293222,0.803338212,0.714483507,0.982143587,1.06527477,0.899979652,0.882742431,0.735877852,0.879742229
TCGA.44.7659.01A.11R.2066.07,Wild,0.791656831,0.795349695,0.963929921,0.821617691,0.939993961,0.991763673,1.095949132,0.912309895,0.809899734,0.847753208,0.707176324,0.913446571,0.827942192,1.01831867,0.767742618,0.778204319,1.047592427,0.634192305,0.94713118,0.944707621,0.702906286,0.546554319,0.94231637,0.906564815,0.811133704,0.799840834,0.714248302,0.792924025
TCGA.L9.A50W.01A.12R.A39D.07,Wild,0.687608367,0.782590872,0.959473807,0.829843821,0.944218764,1.021009745,1.113801297,0.946337089,0.782853039,0.868043442,0.599104268,0.890622252,0.747651559,0.971758204,0.722372867,0.864045217,1.031151401,0.686157083,0.983327624,0.93850463,0.697083425,0.62323761,0.959651183,0.88152479,0.830954194,0.825184592,0.766700436,0.847541773
