Mixture,Type,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD8 T cell,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Monocyte,Natural killer cell,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 2 T helper cell
TCGA.35.5375.01A.01R.1628.07,Wild,0.842128845,0.983704674,0.973146392,1.090145777,0.934192635,0.863131796,0.913116897,0.830829644,1.0098714,0.768127346,0.798249372,1.044287637,0.945534734,0.938374172,0.933592567,0.981196546,0.861736774,0.850219159,0.861958698
TCGA.55.A4DF.01A.11R.A24H.07,Wild,0.82223803,0.986947753,1.045150764,1.119136932,0.929972635,0.926076043,0.920110442,0.884021494,1.02968329,0.788902388,0.713247813,1.099908366,0.950780947,0.982503672,0.952044166,0.995951756,0.805676523,0.845351259,0.879235994
TCGA.MP.A4T4.01A.11R.A262.07,Wild,0.807901319,0.978387834,1.04092147,1.137676123,1.02729569,1.009619097,0.933986043,0.903677836,1.000979723,0.814448502,0.812023918,1.13779659,0.992634474,0.979827407,0.97273811,1.06693425,0.888135165,0.889428272,0.85307955
TCGA.62.A471.01A.12R.A24H.07,Wild,0.764313432,0.949780172,1.006834177,1.090147264,0.926547157,0.87196695,0.871114415,0.672669699,0.950766461,0.677073769,0.691944057,0.954462427,0.937251895,0.871774746,0.940037069,0.821324982,0.720451235,0.80361734,0.887045769
TCGA.L9.A5IP.01A.21R.A39D.07,Wild,0.830085153,0.938479138,1.011468913,1.121551667,0.958489497,0.929865282,0.916918192,0.718855212,0.946759442,0.747275568,0.727450006,1.00416086,0.931744171,0.927642275,0.954632652,0.927592559,0.799946809,0.844853574,0.864528956
TCGA.49.AARR.01A.11R.A41B.07,Wild,0.825963125,0.959295215,0.987368314,1.110519308,0.964371776,0.925983728,0.944339807,0.862076368,1.0349361,0.848766884,0.877935246,1.080306079,0.976604959,0.995120368,1.002159677,0.985666109,0.831782354,0.854264697,0.852417254
TCGA.78.8662.01A.11R.2403.07,Wild,0.778630436,0.922309497,0.989765805,1.088628963,0.930366228,0.838244657,0.900710442,0.648071865,0.945244902,0.655660452,0.734214658,0.91166435,0.955481062,0.910947666,0.910140214,0.812642731,0.748670836,0.788205987,0.850921549
TCGA.05.4430.01A.02R.1206.07,Wild,0.869707706,0.969277706,1.025380409,1.135037051,1.043941258,0.924719673,0.981969534,0.819188859,1.037285534,0.887353149,0.920363512,1.109735524,1.016308445,0.993293222,0.982143587,1.06527477,0.899979652,0.882742431,0.879742229
TCGA.44.7659.01A.11R.2066.07,Wild,0.821617691,0.939993961,0.991763673,1.095949132,0.912309895,0.847753208,0.913446571,0.827942192,1.01831867,0.767742618,0.778204319,1.047592427,0.94713118,0.944707621,0.94231637,0.906564815,0.811133704,0.799840834,0.792924025
TCGA.L9.A50W.01A.12R.A39D.07,Wild,0.829843821,0.944218764,1.021009745,1.113801297,0.946337089,0.868043442,0.890622252,0.747651559,0.971758204,0.722372867,0.864045217,1.031151401,0.983327624,0.93850463,0.959651183,0.88152479,0.830954194,0.825184592,0.847541773
TCGA.75.7025.01A.12R.1949.07,Wild,0.829104573,0.967232895,0.9773046,1.129523372,0.964872818,0.930537797,0.910625624,0.847707198,1.011568898,0.819935344,0.83178416,1.07812868,1.009959217,0.965762092,0.973003761,0.991275282,0.847060523,0.848939538,0.819976957
TCGA.05.4424.01A.22R.1858.07,Wild,0.854106859,0.959583084,1.032386786,1.116882342,1.029405313,0.92747164,0.953736634,0.811210772,1.056202432,0.860681975,0.900074543,1.09282284,1.012008272,0.983857388,0.986333966,1.044758005,0.873826545,0.869109246,0.889330466
TCGA.38.4627.01A.01R.1206.07,Wild,0.863258686,0.983613455,0.982686603,1.148354996,1.054644212,0.93463899,1.017775733,0.800367019,1.050583075,0.902000201,0.931474288,1.130876264,1.018663026,1.007840281,1.018802641,1.077910735,0.910787366,0.913176118,0.894120327
TCGA.86.8073.01A.11R.2241.07,Wild,0.783110026,0.908854218,0.984351254,1.134006114,0.999445684,0.889201314,0.924533549,0.744618432,1.023864756,0.798487488,0.827061131,1.035578866,0.976835842,0.937984264,0.956654105,0.984817617,0.812750828,0.833983579,0.847429348
TCGA.69.7765.01A.11R.2170.07,Wild,0.838875079,0.961993459,1.039541344,1.139158821,1.057825472,0.905902842,0.93899546,0.876895331,1.010474077,0.826064608,0.856297798,1.078044846,0.9747131,0.970542621,0.969271525,1.01071044,0.863807058,0.875111126,0.903822342
TCGA.44.5645.01B.04R.A277.07,Wild,0.694027397,0.703831386,0.731125273,1.013848661,0.767392544,0.787678126,0.713333882,0.714968874,0.817512005,0.486963618,0.611194981,0.88646784,0.727166722,0.840072548,0.794909108,0.844227612,0.629020781,0.640028836,0.73692271
TCGA.55.6984.01A.11R.1949.07,Wild,0.813414799,0.933907443,1.02745075,1.115345662,0.984950858,0.881866106,0.901441897,0.841832489,0.958161335,0.771763145,0.754244028,1.019101451,0.972009118,0.947735086,0.961662965,0.904638377,0.79776821,0.84164707,0.906810906
TCGA.69.7764.01A.11R.2170.07,Wild,0.722332936,0.898253974,0.968617988,1.119254128,0.912702723,0.855437847,0.872631039,0.81492546,0.924675457,0.690625069,0.737912896,0.981940688,0.913217045,0.922535856,0.905944343,0.862860398,0.799732099,0.821597438,0.91878124
TCGA.86.A4P7.01A.11R.A24X.07,Wild,0.830300493,0.949273575,0.987970298,1.12963342,0.995035659,0.96319405,0.943601359,0.898852868,0.989859701,0.841296667,0.908235875,1.109525206,0.989070664,0.975991926,0.970752982,1.001220447,0.891477096,0.875358098,0.879809496
TCGA.55.8620.01A.11R.2403.07,Wild,0.796881884,0.905340402,1.029968132,1.097198789,0.963003916,0.832284544,0.893927419,0.799417888,0.912010157,0.716648484,0.663541033,1.008316038,0.965523392,0.968095652,0.928534807,0.945668877,0.774742118,0.774392695,0.807135637
TCGA.97.8177.01A.11R.2287.07,Wild,0.879814563,0.980275332,1.031924151,1.13787865,1.047168598,0.916415862,0.968501559,0.882930471,1.046646526,0.899419419,0.943580489,1.139446927,1.008904306,0.985617776,0.986702664,1.054552294,0.874728576,0.88109207,0.865259073
TCGA.50.6595.01A.12R.1858.07,Wild,0.860185422,0.9733783,0.99582604,1.139166367,1.046844222,0.909372735,0.988390994,0.808559471,0.991016818,0.829038242,0.806901113,1.086443361,0.988248037,0.994520596,0.952146977,1.077037798,0.871359281,0.896182007,0.912842554
TCGA.78.7633.01A.11R.2066.07,Wild,0.782968224,0.896312924,0.988471957,1.076809029,0.96082776,0.844623214,0.945811153,0.648999128,0.971913192,0.757357024,0.829767654,0.969112224,0.966572164,0.904483674,0.943209463,0.873128705,0.811267894,0.816822662,0.874177811
TCGA.97.A4LX.01A.11R.A24X.07,Wild,0.869978185,0.97440843,1.038325037,1.133865801,1.02995767,1.032316592,0.966113925,0.975540048,0.990145897,0.872075539,0.844109515,1.15515303,1.002579105,0.991551853,0.957717319,1.094756291,0.904706427,0.917820338,0.853313347
TCGA.53.7624.01A.11R.2066.07,Wild,0.782164679,0.937354693,0.966114025,1.108439548,0.937238974,0.900749559,0.919086252,0.719192893,0.958816881,0.721139386,0.622134272,0.987222692,0.921341326,0.918805673,0.925248592,0.912935585,0.790404375,0.802333313,0.877375979
TCGA.49.AARN.01A.21R.A41B.07,Wild,0.813233552,0.96656791,1.051124996,1.115984529,0.970978437,0.889213933,0.879844266,0.845648948,0.973214106,0.764482344,0.73082307,1.044075718,0.979144192,0.964403749,0.938213558,0.902235707,0.815926536,0.844877321,0.893016095
TCGA.62.A46R.01A.11R.A24H.07,Wild,0.845059523,0.949304462,1.02836894,1.139736355,1.006264342,0.924744982,0.937236322,0.8496843,1.027067583,0.802886502,0.818175592,1.092821332,0.988820369,0.944439087,0.965465753,0.961413839,0.829498358,0.826924574,0.87112677
TCGA.50.8457.01A.11R.2326.07,Wild,0.827658715,0.971478957,1.001701171,1.124099942,0.974556748,0.973303177,0.924361612,0.947311978,1.00406396,0.845468599,0.881256369,1.108234156,1.006907715,0.977883579,0.969499429,1.027198237,0.88583863,0.886833007,0.844997245
TCGA.91.8496.01A.11R.2403.07,Wild,0.919562515,0.964006211,0.992938342,1.13356901,1.001740021,0.92825952,0.990248221,0.808135451,1.038170861,0.891648303,0.944855248,1.125188732,1.033465855,0.972619595,0.997844073,1.007944245,0.912703819,0.885323619,0.849280318
TCGA.75.5122.01A.01R.1755.07,Wild,0.926910511,1.005436615,1.012537586,1.163522697,1.025580768,1.069613956,1.016413106,0.931457493,1.028017278,0.93877385,0.929083609,1.205950291,1.043028327,0.996870322,1.013092274,1.134728436,0.935027658,0.947488377,0.92803253
TCGA.NJ.A4YQ.01A.11R.A262.07,Wild,0.807128581,0.92881894,1.053177103,1.136657435,1.004895825,0.973700483,0.923063059,0.985959323,0.956497085,0.808148606,0.793201557,1.143902215,0.993912702,0.935969906,0.942062927,1.037231626,0.847226532,0.895065568,0.835609897
TCGA.91.6831.01A.11R.1858.07,Wild,0.794900978,0.946078889,1.066385196,1.118112282,0.976886696,0.884215036,0.937386006,0.771201908,0.986799143,0.798467636,0.765058006,1.082008023,0.961661784,0.973708063,0.954070682,1.029994655,0.790395763,0.827758694,0.900236044
TCGA.91.A4BD.01A.11R.A24H.07,Wild,0.875664001,0.944159132,1.007887318,1.100072313,0.950834897,0.913072594,0.950791065,0.796453692,1.041660101,0.890267949,0.916351209,1.121815217,1.011611664,0.926719104,0.973755035,0.956470517,0.838947972,0.829429022,0.814536066
TCGA.69.8255.01A.11R.2287.07,Wild,0.777544038,0.904216742,1.032675104,1.101842498,0.98403892,0.958396773,0.92420545,0.856571815,0.929279832,0.769769531,0.712921044,1.0864764,1.052580515,0.931097403,0.919627504,0.941777335,0.795177087,0.822601375,0.879946428
TCGA.69.8253.01A.11R.2287.07,Wild,0.835540444,0.933457384,1.010342806,1.107870933,0.975332258,0.892200237,0.934079118,0.820606086,0.989328721,0.788071866,0.852870831,1.015228485,0.969059585,0.895179335,0.937997422,0.933900758,0.807416152,0.834060101,0.836368982
TCGA.86.A4D0.01A.11R.A24H.07,Wild,0.755547126,0.919867101,1.039659875,1.064139831,0.95257156,0.818832816,0.893199323,0.656864844,0.923337065,0.668651809,0.669044617,0.962024458,0.962251542,0.940939669,0.953063869,0.875126248,0.768160225,0.785731256,0.88253915
TCGA.78.8640.01A.11R.2403.07,Wild,0.78619693,0.936211235,1.025620908,1.090144219,0.979312452,0.89184812,0.934734888,0.830710499,0.986809336,0.74750452,0.753023637,1.041288751,0.980233424,0.925432365,0.932247673,0.945460464,0.766005115,0.820831611,0.838433832
TCGA.97.8174.01A.11R.2287.07,Wild,0.786566383,0.918990413,0.988844989,1.10931294,0.971601082,0.933652273,0.939395637,0.817272747,0.966584157,0.822604497,0.871176345,1.074160442,0.980271767,0.951430177,0.95126545,0.979906847,0.850916643,0.855594896,0.863055733
TCGA.55.6987.01A.11R.1949.07,Wild,0.872659608,0.967578593,0.987030467,1.139560813,1.017400077,1.001738921,0.96646369,0.990700752,1.014551275,0.90557596,0.847952773,1.160010218,0.994639505,0.993096876,0.992507612,1.075477589,0.886169608,0.926081226,0.952571491
TCGA.49.6744.01A.11R.1858.07,Wild,0.86298441,0.997528074,1.052508469,1.151799874,1.039923685,0.958174532,0.978652987,0.896784128,1.013238315,0.899817562,0.936149638,1.140377569,1.005659795,1.004039444,0.980175605,1.071287741,0.880590216,0.907415319,0.906531799
