Gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
DSCAM-AS1,-3.001563334,0.971645884,-14.49067429,5.18E-40,3.08E-35,80.04433377
SLC16A14,-2.212213485,2.26053588,-13.6324492,3.12E-36,9.27E-32,71.39749451
INHA,-2.378328902,1.217357893,-12.21247909,3.22E-30,6.38E-26,57.64892935
IRS2,-1.494796834,2.806944986,-12.03394848,1.74E-29,2.58E-25,55.97628845
PDE4D,-1.363596958,2.05074355,-11.87164227,7.96E-29,9.46E-25,54.46746594
LINC00676,-2.559705708,0.839375793,-11.83536948,1.12E-28,1.11E-24,54.13183458
ODC1,-1.915619672,5.866935553,-11.7003294,3.91E-28,3.32E-24,52.88741894
SLC7A2,-2.372899631,2.929750723,-11.67449392,4.97E-28,3.69E-24,52.65026709
DUSP4,-1.952845629,3.18954491,-11.38147171,7.33E-27,4.84E-23,49.98178011
COL25A1,-1.380682728,0.597640748,-11.00079926,2.28E-25,1.35E-21,46.57529101
HAL,-1.376216806,1.198943389,-10.76597266,1.83E-24,9.91E-21,44.50922941
CPS1,-2.868076993,1.478001478,-10.53640177,1.37E-23,6.27E-20,42.51640756
KIT,-1.831387647,3.123489607,-10.34749159,7.04E-23,2.79E-19,40.89711736
BHLHA15,-1.347845804,2.051511246,-10.30053012,1.05E-22,3.92E-19,40.497513
GLTPD2,-1.121978047,1.017036429,-10.21609683,2.17E-22,6.86E-19,39.78203378
AC023421.1,-1.895761322,0.793107859,-10.19981756,2.50E-22,7.42E-19,39.64452787
FGL1,-2.458250197,1.710276494,-10.15627267,3.62E-22,1.02E-18,39.27742587
ADGRF1,1.948999553,2.280865473,10.02119481,1.14E-21,2.93E-18,38.14526966
TACC2,-1.202891711,2.708661405,-9.879127568,3.74E-21,9.27E-18,36.96545121
S100P,-3.556047365,6.57748204,-9.738060061,1.21E-20,2.66E-17,35.80519253
BPIFA2,-1.678583935,1.15962737,-9.698791376,1.67E-20,3.55E-17,35.48423423
ADSS1,-1.007432233,1.846755235,-9.671824316,2.09E-20,4.14E-17,35.26433559
ATP1B1,-1.249608339,7.41057139,-9.600491431,3.76E-20,7.20E-17,34.68468981
SCNN1A,-1.404438115,5.60701736,-9.554937005,5.46E-20,1.01E-16,34.31606544
PDE3A,-1.07746869,1.139125014,-9.421680154,1.61E-19,2.74E-16,33.24474676
BMP6,-1.380082621,1.575715748,-9.391618461,2.06E-19,3.30E-16,33.00451706
FXYD4,-1.588335535,1.025902743,-9.303240128,4.19E-19,6.55E-16,32.30138903
FURIN,-1.335741415,5.860817902,-9.291441631,4.61E-19,7.02E-16,32.20787581
CRYBG1,1.063406201,2.601825288,9.242175973,6.83E-19,9.90E-16,31.81830984
AC079384.1,-1.09775992,0.638800873,-9.170702626,1.21E-18,1.71E-15,31.25575076
RASD1,-1.967812518,4.825201481,-8.977790152,5.53E-18,6.99E-15,29.75297559
FGA,-3.095355127,2.802990388,-8.91837107,8.80E-18,1.07E-14,29.29474888
GKN2,-1.87442153,1.473637193,-8.909000455,9.46E-18,1.12E-14,29.22268627
TSPAN11,-1.296299285,1.688676872,-8.905181883,9.75E-18,1.14E-14,29.19333618
SLC14A2,-1.23120974,0.562642295,-8.882224985,1.17E-17,1.31E-14,29.01707906
CALCA,-2.796636668,1.260653013,-8.873932045,1.24E-17,1.37E-14,28.95348941
AL359704.2,-1.621947112,0.824819002,-8.834561232,1.69E-17,1.79E-14,28.65218789
