"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DSCAM-AS1",-3.00156333417733,0.971645883817312,-14.4906742915606,5.18478375963616e-40,3.08116144483898e-35,80.0443337743508
"SLC16A14",-2.21221348510808,2.26053588029863,-13.6324491976735,3.12017485955506e-36,9.27113156893892e-32,71.3974945105765
"INHA",-2.37832890169212,1.21735789271159,-12.2124790896917,3.22197729541258e-30,6.38241482448278e-26,57.6489293544927
"IRS2",-1.49479683443356,2.80694498573005,-12.0339484810953,1.73888291553766e-29,2.58341487554141e-25,55.9762884479765
"PDE4D",-1.36359695816411,2.05074354998054,-11.8716422674359,7.95834511589075e-29,9.45881150404079e-25,54.4674659449243
"LINC00676",-2.55970570787186,0.839375793145063,-11.8353694849344,1.11628445591154e-28,1.10562393935758e-24,54.1318345771853
"ODC1",-1.9156196717274,5.86693555287519,-11.7003293958307,3.91450037735103e-28,3.32324305606914e-24,52.8874189381891
"SLC7A2",-2.37289963052595,2.92975072278339,-11.6744939246728,4.97197301579365e-28,3.69336800511962e-24,52.6502670853159
"DUSP4",-1.95284562879457,3.18954491048427,-11.3814717065231,7.33345857276052e-27,4.84228269559377e-23,49.9817801094154
"COL25A1",-1.38068272807693,0.597640748399153,-11.0007992579463,2.27998953072264e-25,1.35492937842254e-21,46.57529100526
"HAL",-1.37621680550531,1.19894338915078,-10.7659726607935,1.83479279780728e-24,9.91238469048118e-21,44.5092294135711
"CPS1",-2.86807699314213,1.47800147784514,-10.5364017685165,1.37222760733204e-23,6.27287461699392e-20,42.5164075644676
"KIT",-1.83138764731735,3.12348960695326,-10.3474915870106,7.04207306241548e-23,2.78992850586777e-19,40.8971173558797
"BHLHA15",-1.34784580439845,2.05151124630641,-10.3005301168953,1.05441915969479e-22,3.91631046269889e-19,40.4975129981625
"GLTPD2",-1.12197804685683,1.01703642919111,-10.2160968292041,2.17239776077987e-22,6.86194862083422e-19,39.7820337756624
"AC023421.1",-1.89576132184543,0.793107859270671,-10.1998175561489,2.49618624549393e-22,7.41704300054838e-19,39.6445278722113
