"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ADGRF1",1.94899955347416,2.28086547324212,10.0211948094982,1.13569648162611e-21,2.93439281798238e-18,38.1452696585743
"CRYBG1",1.06340620123995,2.60182528800901,9.24217597298988,6.83161216381247e-19,9.90200526972887e-16,31.818309838372
"CCL28",1.01953802195037,1.79747420144231,8.65519070668483,6.69752484367525e-17,6.74599676076422e-14,27.2919319981959
"MET",1.54509460793627,4.77366515850198,7.87933514374901,2.05278298262322e-14,1.12954383618842e-11,21.6513835308442
"ITGB8",1.03767772682224,1.59019477599216,7.49058207460054,3.1066862278567e-13,1.19110349976026e-10,18.9801670352233
"ANXA1",1.27150943195491,6.00487973672407,7.33332469017892,9.04937832120955e-13,3.09067474422138e-10,17.9302235304866
"AMIGO2",1.0953779789887,3.941988911414,7.27705317895902,1.3210478738667e-12,4.24356281082575e-10,17.5588808050097
"CST6",1.60657447198376,3.61978747676505,7.23864494351305,1.70804148258698e-12,5.25846252399911e-10,17.3067488967975
"CX3CL1",1.24160666140617,3.61044138895441,7.13160355951821,3.47567971122355e-12,9.83438160050687e-10,16.6097945333453
"ITGA2",1.19081023581581,3.57559718192917,7.13090354779712,3.4917706054604e-12,9.83438160050687e-10,16.6052645363086
"PLAU",1.31406990387301,5.0082471590681,6.97827263294334,9.47853211081262e-12,2.38678274470026e-09,15.6262403261465
"CDH3",1.30858193728376,3.85695982935268,6.90463760057149,1.52522551201268e-11,3.64332840650241e-09,15.1601527981719
"ANKRD22",1.00461996811148,2.64497896506931,6.9016563785876,1.5547547651616e-11,3.68105224817763e-09,15.1413685253004
"IFI44",1.00734588837997,4.07612068916962,6.85122650589059,2.14834386536607e-11,4.8267583001454e-09,14.8246339636559
"ZNF486",1.09655141726776,2.18857446824181,6.74023439982223,4.34840715746978e-11,9.22902829096273e-09,14.1343224536813
"PPP1R14C",1.0897938724626,2.83392263593198,6.61747961995286,9.3836746609768e-11,1.82833978386186e-08,13.3818192113268
"MFSD4A",1.16748451315328,2.58889107193819,6.37359070626814,4.18244538445244e-10,6.88504658897106e-08,11.9213478566963
"GLB1L3",1.01677909496489,1.15166861739,6.04306289845107,2.94790049599711e-09,3.82499744051573e-07,10.0168275935028
"FABP3",1.04221542152299,3.20077026339812,5.95493672917682,4.89113224909575e-09,5.86018782594784e-07,9.5238055612162
"IVL",1.19093055747529,1.3374369646655,5.91593145127128,6.10791203593579e-09,7.02872000646218e-07,9.30759675743501
"KCNN4",1.07429832116713,3.64401984309788,5.90736380934083,6.41233298943055e-09,7.27224642295591e-07,9.26027118883633
"HAS3",1.04246331084779,2.62820596115401,5.86119604765512,8.32547570184987e-09,9.09481699510721e-07,9.00627959448259
"DPP4",1.05776469226918,2.93994175832979,5.85370498553839,8.68438451600439e-09,9.36636875921222e-07,8.96523130859126
"TNC",1.19874737117168,4.46432144763655,5.76890072421598,1.39605649744519e-08,1.39200418579992e-06,8.50373333475585
"PLAT",1.1444053755993,3.49320986064816,5.7064869577039,1.97265314445433e-08,1.8461237545746e-06,8.1678506012791
"MMP7",1.3816477061929,4.3979437619775,5.63356897851457,2.94279488722992e-08,2.56737960465555e-06,7.77950572448963
"IL37",1.36046812629179,1.78550453498096,5.44851229010815,7.96702982796259e-08,6.10124589673109e-06,6.81374945070706
"ATP13A4",1.01302552596355,2.44212117890943,5.40567277082018,9.99345603869485e-08,7.33186558038912e-06,6.59426135042941
"EREG",1.17190695754073,1.47983368933302,5.34002521442958,1.41019630308201e-07,9.9293525714757e-06,6.26091047585864
"HLA-DQB2",1.12350460495281,4.39855116055421,5.32358504662881,1.53637319371126e-07,1.0656601439122e-05,6.17799801632096
"CRABP2",1.46390458456962,6.25909402061259,5.14322585676475,3.87701466372631e-07,2.34383876318681e-05,5.28343885636927
"COL17A1",1.02538279068715,2.13932292280741,4.79054574058689,2.19245056931797e-06,9.88549013527003e-05,3.61475919069204
"SHISA3",1.09405254309067,1.65542723675159,4.72619165220104,2.97424633906724e-06,0.000126213185877668,3.32191056798175
"SLC1A7",1.00866706627245,1.55712724246185,4.65322442722384,4.18529884789952e-06,0.000166280187033229,2.99425280558149
"TNNT1",1.08371858622488,2.51034925070342,4.6228049720335,4.81945860855082e-06,0.00018606032311188,2.85903569922124
"AREG",1.09782381987409,4.03270071105885,4.43905119917377,1.11150094607345e-05,0.000371293798326627,2.05960371927025
"PEG10",1.03810559220239,3.07042308848125,4.32624263755056,1.83041413436341e-05,0.000561537760134742,1.58367462786347
"VSIG1",1.07481033271144,2.05143870524784,4.25122518351622,2.53518322032753e-05,0.000728874374622178,1.2734783473579
"HHLA2",1.01187768870446,1.55741120004751,4.19660174398356,3.20405220997291e-05,0.000868800391487525,1.05078813006562
"CXCL14",1.09499850658189,4.29594624171845,3.52319767486375,0.000465272021157725,0.00736563563935177,-1.47174299182559
"TFPI2",1.01597443586714,3.86674376669359,3.27312530569795,0.00113686277233688,0.0147479467303348,-2.30198019352672
