"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"DOID:60001","DOID:60001","pulmonary artery disease","7/128","33/10312",1.25779131365597e-07,4.57207142513944e-05,3.53505558680151e-05,"FGA/FGG/CX3CL1/SERPINF2/FABP3/FGB/TNNT1",7
"DOID:9477","DOID:9477","pulmonary embolism","7/128","33/10312",1.25779131365597e-07,4.57207142513944e-05,3.53505558680151e-05,"FGA/FGG/CX3CL1/SERPINF2/FABP3/FGB/TNNT1",7
"DOID:3007","DOID:3007","breast ductal carcinoma","9/128","86/10312",1.0836120654499e-06,0.000202920076073927,0.000156894694307503,"INHA/KIT/S100P/MET/ANXA1/PLAU/WIF1/MUC5AC/AREG",9
"DOID:1176","DOID:1176","bronchial disease","17/128","344/10312",1.11647909806838e-06,0.000202920076073927,0.000156894694307503,"INHA/SCNN1A/FGA/CALCA/CCL28/CX3CL1/PLAU/PLA2G4A/AMBP/MUC5B/TNC/SFTPB/DEFB1/MUC5AC/GSTA1/AREG/SCGB3A2",17
"DOID:4905","DOID:4905","pancreatic carcinoma","16/128","319/10312",1.95669183344539e-06,0.000284502992582959,0.000219973355591545,"ODC1/KIT/S100P/MET/FASN/ANXA1/DACT2/MSLN/PLAU/MUC4/MUC5B/AGR2/PLAT/MMP7/MUC5AC/TFPI2",16
"DOID:3459","DOID:3459","breast carcinoma","20/128","493/10312",2.57351979255455e-06,0.000311824814864526,0.000241098170039321,"INHA/ODC1/KIT/S100P/MET/FASN/ANXA1/MAOA/CST6/PLAU/TFF1/AGR2/CYP24A1/MMP7/CRABP2/WIF1/MUC5AC/IGFBP2/TFF3/AREG",20
"DOID:2841","DOID:2841","asthma","16/128","333/10312",3.41638802579459e-06,0.000354816299250381,0.000274338527184107,"INHA/FGA/CALCA/CCL28/CX3CL1/PLAU/PLA2G4A/AMBP/MUC5B/TNC/SFTPB/DEFB1/MUC5AC/GSTA1/AREG/SCGB3A2",16
"DOID:0060085","DOID:0060085","organ system benign neoplasm","18/128","426/10312",4.91461722616934e-06,0.000442961547991622,0.000342491083222365,"INHA/KIT/S100P/MET/RET/ANXA1/ITGA2/MSLN/MUC4/TFF1/ASCL1/PLAT/CYP24A1/MMP7/EREG/SFTPB/MUC5AC/GPX2",18
"DOID:26","DOID:26","pancreas disease","12/128","196/10312",5.48370554597607e-06,0.000442961547991622,0.000342491083222365,"KIT/FGA/CALCA/MET/FGG/CX3CL1/MSLN/SERPINF2/LPL/FGB/DEFB1/SPINK1",12
"DOID:0060084","DOID:0060084","cell type benign neoplasm","19/128","480/10312",6.73286915622893e-06,0.000489479587657843,0.000378458118886973,"INHA/ODC1/S100P/MET/RET/ANXA1/ITGA2/MSLN/PLAU/PLA2G4A/CDH3/TFF1/PAEP/DPP4/PCSK1/MMP7/WIF1/MUC5AC/GPX2",19
"DOID:2394","DOID:2394","ovarian cancer","18/128","441/10312",7.93621855025566e-06,0.000524511898730533,0.00040554456515182,"INHA/KIT/S100P/FURIN/MET/MSLN/PLAU/TFF1/ID1/ELAPOR1/SPDEF/PAEP/DPP4/CYP24A1/MMP7/GSTA1/IGFBP2/SPINK1",18
"DOID:4897","DOID:4897","bile duct carcinoma","12/128","208/10312",1.0066856589026e-05,0.000591032806332947,0.00045697751188271,"S100P/MET/ANXA1/DACT2/MSLN/MUC4/TFF1/MUC5B/TNC/MMP7/MUC5AC/TFF3",12
"DOID:4606","DOID:4606","bile duct cancer","12/128","209/10312",1.05686746662013e-05,0.000591032806332947,0.00045697751188271,"S100P/MET/ANXA1/DACT2/MSLN/MUC4/TFF1/MUC5B/TNC/MMP7/MUC5AC/TFF3",12
"DOID:299","DOID:299","adenocarcinoma","10/128","147/10312",1.37702421218287e-05,0.000715069001612104,0.000552880397974175,"KIT/S100P/ITGA2/MSLN/PLAU/MUC4/TFF1/MMP7/AQP3/MUC5AC",10
"DOID:1485","DOID:1485","cystic fibrosis","11/128","183/10312",1.6340259308819e-05,0.000791957901167426,0.000612329717256795,"SCNN1A/FURIN/BPIFA1/PLAU/MUC4/MUC5B/SFTPB/DEFB1/MUC5AC/SPINK1/SCGB3A2",11
"DOID:4989","DOID:4989","pancreatitis","11/128","185/10312",1.80948879824024e-05,0.000822186472700408,0.000635701985697557,"KIT/FGA/CALCA/MET/FGG/CX3CL1/SERPINF2/LPL/FGB/DEFB1/SPINK1",11
"DOID:5409","DOID:5409","lung small cell carcinoma","8/128","102/10312",3.73643498880585e-05,0.00157754411581624,0.00121973294410464,"KIT/CALCA/MET/RET/PLAU/ASCL1/CYP24A1/IGFBP2",8
"DOID:4074","DOID:4074","pancreatic adenocarcinoma","11/128","201/10312",3.90588639404296e-05,0.00157754411581624,0.00121973294410464,"ODC1/KIT/S100P/MET/FASN/PLAU/MUC4/AGR2/PLAT/MMP7/MUC5AC",11
"DOID:3008","DOID:3008","invasive ductal carcinoma","6/128","52/10312",4.14789865512391e-05,0.00158711701172373,0.00122713456057405,"INHA/KIT/MET/ANXA1/WIF1/AREG",6
"DOID:688","DOID:688","embryonal cancer","15/128","378/10312",6.64340827379068e-05,0.00241487890752291,0.00186714737800222,"INHA/KIT/MET/RET/PCSK2/PLAU/MUC4/ID1/PCSK1/TNC/MMP7/ORM2/ORM1/MUC5AC/IGFBP2",15
"DOID:4450","DOID:4450","renal cell carcinoma","17/128","472/10312",7.09164270157021e-05,0.00245505916382931,0.0018982141366609,"INHA/KIT/BMP6/MET/ANXA1/NNMT/MSLN/PLAU/HPN/TNC/MMP7/CRABP2/WIF1/AKR1C3/IGFBP2/SPINK1/TFPI2",17
"DOID:4766","DOID:4766","embryoma","14/128","352/10312",0.000115167349813048,0.00380575742336753,0.00294255333972093,"KIT/MET/RET/PCSK2/PLAU/MUC4/ID1/PCSK1/TNC/MMP7/ORM2/ORM1/MUC5AC/IGFBP2",14
"DOID:4607","DOID:4607","biliary tract cancer","12/128","269/10312",0.000125228921259777,0.00395832285895033,0.00306051459737853,"S100P/MET/ANXA1/DACT2/MSLN/MUC4/TFF1/MUC5B/TNC/MMP7/MUC5AC/TFF3",12
"DOID:3498","DOID:3498","pancreatic ductal adenocarcinoma","8/128","122/10312",0.000133403824733678,0.00404102419089099,0.0031244580003414,"S100P/MET/FASN/PLAU/AGR2/PLAT/MMP7/MUC5AC",8
"DOID:0050624","DOID:0050624","gastrointestinal system benign neoplasm","8/128","125/10312",0.000157979136078817,0.00459403327717199,0.00355203615436161,"INHA/S100P/MET/MSLN/MUC4/CYP24A1/MUC5AC/GPX2",8
"DOID:4896","DOID:4896","bile duct adenocarcinoma","10/128","198/10312",0.000172448305569421,0.00464333030181368,0.00359015185863825,"S100P/MET/ANXA1/MUC4/TFF1/MUC5B/TNC/MMP7/MUC5AC/TFF3",10
"DOID:4947","DOID:4947","cholangiocarcinoma","10/128","198/10312",0.000172448305569421,0.00464333030181368,0.00359015185863825,"S100P/MET/ANXA1/MUC4/TFF1/MUC5B/TNC/MMP7/MUC5AC/TFF3",10
"DOID:552","DOID:552","pneumonia","9/128","164/10312",0.00019786273953588,0.00513736470152089,0.00397213168842707,"CALCA/PLAU/MUC5B/TNC/PLAT/MMP7/SFTPB/DEFB1/MUC5AC",9
"DOID:11054","DOID:11054","urinary bladder cancer","11/128","246/10312",0.000236986174709144,0.00594099824184647,0.00459348883102297,"KIT/ANXA1/PLAU/TFF1/ID1/AMBP/MUC5B/WIF1/IGFBP2/AREG/SPINK1",11
"DOID:2871","DOID:2871","endometrial carcinoma","8/128","136/10312",0.000282147352435486,0.00672137603976882,0.00519686498984515,"INHA/MET/TFF1/ELAPOR1/PAEP/KCNN4/MMP7/MUC5AC",8
"DOID:3493","DOID:3493","signet ring cell adenocarcinoma","3/128","11/10312",0.000286606130994269,0.00672137603976882,0.00519686498984515,"MUC4/TFF1/MUC5AC",3
"DOID:8618","DOID:8618","oral cavity cancer","8/128","138/10312",0.000311585087456411,0.00707882370565033,0.0054732380493988,"KIT/MET/PLAU/CDH3/MUC4/ID1/CYP24A1/MMP7",8
"DOID:657","DOID:657","adenoma","13/128","344/10312",0.000335913453848281,0.00725800706377472,0.00561177987700819,"INHA/ODC1/S100P/MET/RET/CDH3/TFF1/DPP4/PCSK1/MMP7/WIF1/MUC5AC/GPX2",13
"DOID:2994","DOID:2994","germ cell cancer","15/128","439/10312",0.000343659273772144,0.00725800706377472,0.00561177987700819,"INHA/KIT/MET/RET/PCSK2/PLAU/MUC4/ID1/PCSK1/TNC/MMP7/ORM2/ORM1/MUC5AC/IGFBP2",15
"DOID:3587","DOID:3587","pancreatic ductal carcinoma","6/128","76/10312",0.000349422623427944,0.00725800706377472,0.00561177987700819,"MET/MSLN/MUC4/MUC5B/AGR2/MUC5AC",6
"DOID:0050621","DOID:0050621","respiratory system benign neoplasm","6/128","82/10312",0.000526795597244403,0.01063834442213,0.00822540493943015,"ANXA1/ITGA2/MSLN/ASCL1/PLAT/SFTPB",6
"DOID:326","DOID:326","ischemia","15/128","464/10312",0.000614635040912612,0.0120767479660397,0.00933755652481749,"PDE4D/KIT/SCNN1A/BMP6/FGA/CALCA/RET/ANXA1/CX3CL1/PLAU/PLA2G4A/FABP3/PLAT/AQP3/MUC13",15
"DOID:2671","DOID:2671","transitional cell carcinoma","6/128","85/10312",0.000638368094722301,0.0122129896016609,0.00944289647040745,"ANXA1/PLAU/PLA2G4A/TFF1/AREG/SPINK1",6
"DOID:2913","DOID:2913","acute pancreatitis","5/128","58/10312",0.000737459189173105,0.0137469956545858,0.0106289664512399,"KIT/CALCA/CX3CL1/SERPINF2/LPL",5
"DOID:974","DOID:974","upper respiratory tract disease","9/128","202/10312",0.000908111733230124,0.0160895847129145,0.0124402204252462,"CALCA/CX3CL1/PLAU/MUC4/LPL/MUC5B/DPP4/MUC5AC/SCGB3A2",9
"DOID:0050625","DOID:0050625","biliary tract benign neoplasm","3/128","16/10312",0.000929522087953792,0.0160895847129145,0.0124402204252462,"MSLN/MUC4/MUC5AC",3
"DOID:12678","DOID:12678","hypercalcemia","3/128","16/10312",0.000929522087953792,0.0160895847129145,0.0124402204252462,"CALCA/RET/CYP24A1",3
"DOID:1781","DOID:1781","thyroid gland cancer","10/128","247/10312",0.000989135391889249,0.0167232890675229,0.0129301909245743,"KIT/MET/RET/CST6/PLAU/ASCL1/ID1/TNC/TFF3/CXCL14",10
"DOID:0050904","DOID:0050904","salivary gland carcinoma","5/128","63/10312",0.00107676533395323,0.0177910999496363,0.0137558059409336,"KIT/CDH3/MUC4/ID1/MMP7",5
