DSCAM-AS1	AZGP1
SLC16A14	B2M
INHA	CALR
IRS2	CANX
PDE4D	CD1A
LINC00676	CD1B
ODC1	CD1C
SLC7A2	CD1D
DUSP4	CD1E
COL25A1	CD4
HAL	CD8A
CPS1	CD8B
KIT	CD74
BHLHA15	CREB1
GLTPD2	CTSB
AC023421.1	CTSE
FGL1	CTSL
ADGRF1	CTSS
TACC2	FCER1G
S100P	FCGRT
BPIFA2	PDIA3
ADSS1	HFE
ATP1B1	HLA-A
SCNN1A	HLA-B
PDE3A	HLA-C
BMP6	HLA-DMA
FXYD4	HLA-DMB
FURIN	HLA-DOA
CRYBG1	HLA-DOB
AC079384.1	HLA-DPA1
RASD1	HLA-DPB1
FGA	HLA-DQA1
GKN2	HLA-DQA2
TSPAN11	HLA-DQB1
SLC14A2	HLA-DRA
CALCA	HLA-DRB1
AL359704.2	HLA-DRB3
CCL28	HLA-DRB4
BARX1	HLA-DRB5
PGC	HLA-E
CDK2AP2	HLA-F
TMEM59L	HLA-G
HMGB3	HLA-H
CRLF1	MR1
CBR1	HSPA1A
SYT7	HSPA1B
MSMB	HSPA1L
AVPI1	HSPA2
KCNE4	HSPA4
FSTL4	HSPA5
SMOC1	HSPA6
AC022733.1	HSPA8
BASP1	HSP90AA1
GPT2	HSP90AB1
MET	ICAM1
TFCP2L1	IFNA1
TESC	IFNA2
LGSN	IFNA4
SIK1B	IFNA5
CNGA3	IFNA6
RET	IFNA7
PCSK2	IFNA8
AL121949.1	IFNA10
BPIFA1	IFNA13
FASN	IFNA14
RND1	IFNA16
TCIM	IFNA17
ITGB8	IFNA21
ENO3	IFNG
PLA2G10	KIR2DL1
ATOH8	KIR2DL2
AKR7A3	KIR2DL3
ANXA1	KIR2DL4
MAOA	KIR2DS1
ALDH3B1	KIR2DS3
AMIGO2	KIR2DS4
CST6	KIR2DS5
NNMT	KIR3DL1
DACT2	KIR3DL2
FGG	KLRC1
CX3CL1	KLRC2
ITGA2	KLRC3
LINC02489	KLRD1
MSLN	LTA
PLAU	CIITA
CPE	MICA
PLA2G4A	MICB
CDH3	NFYA
ANKRD22	NFYB
SERPINF2	NFYC
LINC02866	LGMN
IFI44	PSMB8
MUC4	PSMC1
CIT	PSMC2
TFF1	PSMC3
MISP	PSMC4
ZNF486	PSMC5
BPIFB2	PSMC6
PPP1R14C	PSMD1
ASCL1	PSMD2
INSL4	PSMD3
LPL	PSMD4
ID1	PSMD5
ELAPOR1	PSMD7
HGD	PSMD8
AKR1C2	PSMD10
KLK12	PSMD11
MFSD4A	PSMD13
NR4A1	PSME1
AMBP	PSME1
GLB1L3	PSME2
SPDEF	PSME2
MUC5B	RELB
FABP3	RFX5
PAEP	RFXAP
HPN	SLC10A2
IVL	TAP1
FGB	TAP2
KCNN4	TAPBP
HAS3	THBS1
KLK14	SEM1
AGR2	KLRC4
DPP4	AP3B1
PCSK1	RFXANK
TNC	PSMD6
SLC16A4	PSME3
PLAT	PSMD14
NPW	CLEC4M
AKR1C1	IFI30
PKP1	PROCR
CYP24A1	ADRM1
MMP7	ECPAS
CACNA2D2	TRPC4AP
AOC1	CD209
IL37	UBXN1
ATP13A4	ERAP1
ORM2	TAPBPL
EREG	KIR2DL5A
HLA-DQB2	ERAP2
CLDN10	ULBP3
CRABP2	ULBP2
SFTPB	ULBP1
CT83	KIR3DL3
WIF1	RAET1E
AQP3	RAET1L
DEFB1	UBR1
ORM1	RAET1G
MUC5AC	PDIA2
COL17A1	HAMP
SHISA3	PI3
SLC1A7	CAMP
AKR1C3	DEFB4A
GSTA1	PPBP
TNNT1	REG3G
TSPAN8	CXCL14
IGFBP2	CXCL16
TFF3	SLPI
MUC13	CXCL8
AREG	CXCL10
PEG10	CXCL9
GPX2	CXCL5
VSIG1	CXCL11
HHLA2	CXCL6
SPINK1	CXCL1
RPS4Y1	CXCL12
CXCL14	CXCL13
IGHD	CXCL2
TFPI2	PF4
SCGB3A2	XCL1
	CXCL3
	DEFB103B
	CCL13
	CCL1
	DEFB1
	CCL8
	ELANE
	DEFB103A
	DEFA3
	DEFA1
	TMSB10
	DEFA6
	DEFA5
	DEFA4
	LCN2
	LCN1
	COLEC10
	BPI
	S100A9
	S100A8
	DCD
	LCN6
	S100A12
	HTN3
	LCN8
	DEFA1B
	CCR10
	CELA1
	DEFB106A
	PENK
	BPIFC
	MMP12
	BPIFB6
	LEAP2
	SFTPD
	LCN9
	BPIFB2
	PTGDS
	TMSB4X
	PGLYRP1
	ZC3HAV1
	TMSB15A
	S100B
	S100A13
	S100A6
	DEFB119
	DEFB107A
	DEFB105A
	SERPIND1
	DEFB129
	DEFB127
	S100P
	S100A7
	DEFB104A
	DEFB126
	DEFB106B
	DEFB104B
	DEFB107B
	PGLYRP3
	PGLYRP2
	S100A10
	S100A2
	DEFB125
	DEFB123
	DEFB105B
	DEFB132
	BPIFB3
